s.no,message,label
1,"Remember to submit your report by 5 PM today.",1
2,"The meeting has been rescheduled to tomorrow.",1
3,"Don't forget to buy milk on your way home.",0
4,"The deadline for the project is next week.",1
5,"Reminder: Your dentist appointment is at 10 AM tomorrow.",1
6,"Enjoy your weekend!",0
7,"Please respond to this email as soon as possible.",1
8,"It's time to renew your subscription.",1
9,"The movie starts in 30 minutes.",1
10,"Let's catch up for coffee sometime this week.",0
11,"Don't miss out on our limited-time offer.",1
12,"Your package has been delivered.",0
13,"Important: Review the attached document before the meeting.",1
14,"The event starts at 7 PM tonight.",1
15,"Happy birthday! Hope you have a fantastic day.",0
16,"Please complete the survey by the end of the day.",1
17,"Reminder: Tomorrow is the deadline for registration.",1
18,"Don't forget to RSVP for the party.",1
19,"The store closes in 15 minutes.",1
20,"Wishing you a speedy recovery!",0
21,"We're running low on office supplies.",1
22,"The sale ends on Friday.",1
23,"Enjoy your vacation!",0
24,"Your reservation is confirmed.",0
25,"We need your feedback on the new product design.",1
26,"Don't forget to set your clocks forward tonight.",1
27,"The report is due next month.",1
28,"Happy holidays!",0
29,"Your subscription expires next week.",1
30,"It's time to renew your gym membership.",1
31,"Reminder: Your flight is tomorrow at 9 AM.",1
32,"The conference starts in 1 hour.",1
33,"Don't miss the early bird discount.",1
34,"Please review and approve the budget proposal.",1
35,"The deadline for the scholarship application is approaching.",1
36,"The store is closed for maintenance.",0
37,"Enjoy your meal!",0
38,"Please sign and return the contract by the end of the day.",1
39,"Don't forget to water the plants.",0
40,"The event has been postponed until further notice.",1
41,"Congratulations on your promotion!",0
42,"Reminder: Your car insurance expires next week.",1
43,"The deadline for submitting your taxes is approaching.",1
44,"Please arrive on time for the meeting.",1
45,"Don't forget to pick up your dry cleaning.",1
46,"The new semester starts next Monday.",1
47,"We're hiring! Apply now.",1
48,"Happy anniversary!",0
49,"Don't miss the deadline for the scholarship application.",1
50,"Enjoy the long weekend!",0
51,"Please respond to the survey by the end of the day.",1
52,"Reminder: Your dental check-up is tomorrow.",1
53,"The deadline for the job application is tomorrow.",1
54,"Don't forget to schedule your annual check-up.",1
55,"Your prescription is ready for pickup.",0
56,"The sale starts at midnight tonight.",1
57,"Enjoy your day off!",0
58,"Don't miss out on our limited-time promotion.",1
59,"The meeting has been canceled.",1
60,"Reminder: Your rent is due tomorrow.",1
61,"The concert starts in 1 hour.",1
62,"Happy Thanksgiving!",0
63,"Don't forget to bring your umbrella.",1
64,"The event is sold out.",1
65,"Please update your contact information.",1
66,"The deadline for the conference registration is today.",1
67,"Don't forget to RSVP for the wedding.",1
68,"The store will be closed for the holidays.",1
69,"Enjoy the sunshine!",0
70,"Please review the updated policy.",1
71,"The deadline for submitting your proposal is tomorrow.",1
72,"Don't miss the early bird registration deadline.",1
73,"Your flight has been delayed.",1
74,"Reminder: Your doctor's appointment is tomorrow.",1
75,"The sale ends at midnight tonight.",1
76,"Happy New Year!",0
77,"Don't forget to update your password.",1
78,"The deadline for the contest entry is tomorrow.",1
79,"Please confirm your attendance for the event.",1
80,"Enjoy your weekend getaway!",0
81,"The store will be closed for inventory.",1
82,"Don't forget to buy tickets for the movie premiere.",1
83,"The workshop starts in 30 minutes.",1
84,"Please submit your expense report by the end of the week.",1
85,"Reminder: Your subscription renewal is due.",1
86,"The deadline for the scholarship application is tomorrow.",1
87,"Don't miss the flash sale!",1
88,"Your payment is overdue.",1
89,"Enjoy the fireworks!",0
90,"Please review the updated terms and conditions.",1
91,"The store is closed for the holiday weekend.",1
92,"Don't forget to pack your sunscreen.",1
93,"The seminar starts at 9 AM tomorrow.",1
94,"Happy Valentine's Day!",0
95,"Please complete the online training by the end of the month.",1
96,"The deadline for the project submission is next Friday.",1
97,"Don't miss the deadline for the job application.",1
98,"Your subscription has expired.",1
99,"Enjoy your summer vacation!",0
100,"Please RSVP for the company picnic.",1
101,"Don't forget to turn in your homework.",1
